Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: className,Param: nTriangles,ratio,vs BF
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,2.621216,0.019444,ms/op,ShewchukIntervalTriangle2D,262144,0.918514728839722,0.0658629784025928
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,2.853755,0.063962,ms/op,TriangleD2Eager,262144,1,0.0717059578193065
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,3.387211,0.027974,ms/op,DoubleNonRobust,262144,1.18693125373412,0.085110042414675
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,3.542592,0.025376,ms/op,FastMacro,262144,1.24137916534531,0.0890142820680166
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,3.554236,0.023086,ms/op,InCircleNormalized,262144,1.24545940348769,0.0893068594521466
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,3.565169,0.041139,ms/op,Fast,262144,1.24929049620588,0.089581571624999
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,3.919457,0.020055,ms/op,TriangleD2Lazy,262144,1.37343850470696,0.0984837234859284
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,6.094275,0.036522,ms/op,DDSlow,262144,2.13552845286298,0.153130113162922
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,6.158343,0.034209,ms/op,DDFast,262144,2.15797887344919,0.154739942074502
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,6.187992,0.03843,ms/op,DDNormalized,262144,2.16836834276243,0.155484928922842
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,7.70803,0.074503,ms/op,AdaptMacro,262144,2.70101322643324,0.193678740484011
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,7.71886,0.077323,ms/op,DefaultMacro,262144,2.7048082263544,0.193950864588282
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,10.761984,0.076363,ms/op,RelaxedIntervalTriangle2D,262144,3.77116606015583,0.270415074439134
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,11.903305,0.468041,ms/op,Adapt,262144,4.17110263494939,0.299092909601679
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,18.63304,0.111586,ms/op,RoundingIntervalTriangle2D,262144,6.52930612473741,0.46819014956976
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,38.921337,0.588517,ms/op,SlowMacro,262144,13.6386399673413,0.977971742210881
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,39.092227,0.338835,ms/op,Slow,262144,13.6985224730224,0.982265674637365
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,39.798018,0.339816,ms/op,TriangleBF2,262144,13.9458425828426,1
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,43.534105,0.247097,ms/op,ExactMacro,262144,15.2550253963637,1.09387620760411
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,50.140085,1.17772,ms/op,ShBFTriangle2D,262144,17.5698632153076,1.25986387060783
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,51.897523,0.39178,ms/op,Exact,262144,18.1856967399093,1.30402280334664
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,55.550082,0.461056,ms/op,ReBfTriangle2D,262144,19.4656100471134,1.39580021296538
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,63.194268,0.458402,ms/op,RoBfTriangle2D,262144,22.1442513460336,1.5878747529588
gep.java.benchmarks.triangles.area.ColinearOrientation.bench,avgt,1,9,67.438323,0.468452,ms/op,RationalFloatTriangle2D,262144,23.6314340228926,1.69451461125526
