Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: className,Param: nPoints,Param: nTriangles,ratio,vs BF
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,27.605218,0.378266,ms/op,ShewchukIntervalTriangle2D,2048,2048,0.977184367693963,0.0199061032522597
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,28.249754,0.726186,ms/op,TriangleD2Eager,2048,2048,1,0.0203708777077919
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,29.948393,0.395285,ms/op,DoubleNonRobust,2048,2048,1.06012933776344,0.0215957650940214
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,30.639035,1.147498,ms/op,FastMacro,2048,2048,1.08457705507807,0.0220937865536725
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,30.720839,0.685013,ms/op,Fast,2048,2048,1.08747279710825,0.0221527753604426
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,30.979859,0.956732,ms/op,InCircleNormalized,2048,2048,1.09664172650849,0.0223395544999662
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,35.867835,1.710317,ms/op,TriangleD2Lazy,2048,2048,1.26966893233831,0.0258642705500465
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,36.129707,0.608835,ms/op,ShBFTriangle2D,2048,2048,1.27893881836989,0.0260531062647609
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,37.880547,0.867946,ms/op,Adapt,2048,2048,1.34091599523309,0.0273156357553154
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,89.661823,2.082447,ms/op,DefaultMacro,2048,2048,3.17389747889486,0.0646550773996364
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,90.506322,1.289606,ms/op,AdaptMacro,2048,2048,3.20379150912252,0.0652640450335971
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,267.158737,4.83856,ms/op,DDNormalized,2048,2048,9.45702879394985,0.19264797704062
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,293.197938,5.94946,ms/op,RelaxedIntervalTriangle2D,2048,2048,10.3787784488318,0.211424826537419
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,296.159823,5.04617,ms/op,ReBfTriangle2D,2048,2048,10.4836248485562,0.213560639724307
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,450.228681,6.07225,ms/op,DDFast,2048,2048,15.9374372251171,0.324659584688471
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,501.551311,8.76946,ms/op,DDSlow,2048,2048,17.7541833107644,0.361668297025302
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,835.443685,6.929452,ms/op,RoundingIntervalTriangle2D,2048,2048,29.5734853124739,0.602437852693586
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,839.779165,10.462428,ms/op,RoBfTriangle2D,2048,2048,29.7269549674663,0.605564164267294
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,1386.771567,14.02041,ms/op,TriangleBF2,2048,2048,49.0896864801017,1
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,2946.830173,31.178377,ms/op,RationalFloatTriangle2D,2048,2048,104.313480853674,2.12495716174429
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,10445.273481,143.807761,ms/op,Exact,2048,2048,369.74741376509,7.53207934858099
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,10546.488719,184.908359,ms/op,Slow,2048,2048,373.330285247794,7.60506558539789
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,11888.106015,192.041458,ms/op,ExactMacro,2048,2048,420.82157653479,8.57250487239042
gep.java.benchmarks.triangles.circle.RandomInCircle.bench,avgt,1,9,24805.249978,186.192069,ms/op,SlowMacro,2048,2048,878.069592322822,17.8870482841389
